lead_id,name,source,instagram,email,phone,location,procedure_interest,intent_score,last_activity,notes
PHI-043,Angela H.,Yelp,,,(267) 883-9750,Rittenhouse Square,Kybella (Double Chin),7,2026-02-16,Posted in Facebook group about considering procedure
PHI-046,Brittany B.,Google Reviews,@brittany_philly,,,Rittenhouse Square,RF Microneedling (Morpheus8),7,2025-12-03,Asked about Botox pricing in DMs
PHI-047,Sarah K.,Facebook,@sarah269,sarah.k@me.com,,University City,Dysport,7,2025-12-15,Asked about CoolSculpting consultation
PHI-052,Rachel P.,Yelp,,rachel.p@hotmail.com,(215) 604-1322,"Cherry Hill, NJ",RF Microneedling (Morpheus8),7,2025-12-21,Requested pricing via Instagram
PHI-056,Samantha R.,Yelp,@samantha.pa,samantha44@me.com,,Manayunk,Eyelid Surgery,7,2026-01-17,Asked 'does this hurt?' on procedure video
PHI-060,Rebecca M.,TikTok,@rebecca694,rebecca.m@yahoo.com,,Old City,RF Microneedling (Morpheus8),7,2025-12-02,Liked every laser hair removal post
PHI-061,Amanda B.,TikTok,@amanda.xo,amanda.b@yahoo.com,(267) 720-7971,"Haddonfield, NJ",RF Microneedling (Morpheus8),7,2025-11-25,Liked every laser hair removal post
PHI-062,Brittany W.,Facebook,@brittany.real,brittany.w@yahoo.com,(267) 497-2842,Center City,Tummy Tuck,7,2025-12-05,Asked about Botox pricing in DMs
PHI-065,Elizabeth W.,RealSelf,,elizabeth71@me.com,(484) 626-8685,Ardmore,RF Microneedling (Morpheus8),7,2025-12-31,Shared positive review of competitor
PHI-069,Rebecca T.,Yelp,,rebecca_t@comcast.net,(215) 244-7935,King of Prussia,HydraFacial,7,2026-01-10,Asked about Botox pricing in DMs
PHI-070,Angela P.,Facebook,,angela_p@comcast.net,(484) 352-3627,King of Prussia,RF Microneedling (Morpheus8),7,2026-02-01,Requested pricing via Instagram
PHI-075,Brittany S.,Yelp,,brittany.s@yahoo.com,,Philadelphia,Mommy Makeover,7,2025-12-13,Tagged 3 friends in before/after post
PHI-016,Jessica W.,Instagram,@jessica160,,,Villanova,Liposuction,6,2025-11-24,"Mentioned wanting subtle, natural results"
PHI-017,Rachel T.,Google Reviews,@rachel.official,rachel.t@gmail.com,(484) 962-1659,Fort Washington,Laser Skin Resurfacing,6,2025-12-29,Commented 'need this!' on CoolSculpting before/after
PHI-022,Nicole P.,Yelp,@nicole.xo,nicole.p@icloud.com,(267) 704-9876,King of Prussia,Dermal Fillers (Juvederm),6,2025-12-29,Commented 'need this!' on CoolSculpting before/after
PHI-027,Jessica R.,Facebook,@jessica_style,jessica53@yahoo.com,(856) 896-5270,Newtown Square,Tummy Tuck,6,2026-02-15,Follows 6 local med spas
PHI-028,Sarah W.,Google Reviews,@sarah.official,sarah39@yahoo.com,(856) 514-3571,Bryn Mawr,Chemical Peels,6,2025-12-30,Saved multiple filler result posts
PHI-039,Danielle L.,TikTok,@danielle.real,danielle_l@gmail.com,(856) 267-2942,Blue Bell,Kybella (Double Chin),6,2026-01-18,Shared positive review of competitor
PHI-041,Christina M.,Yelp,,christina.m@gmail.com,(610) 729-4772,Blue Bell,SculpSure,6,2025-12-29,Liked every laser hair removal post
PHI-072,Heather P.,Yelp,,heather_p@me.com,(267) 552-8198,King of Prussia,Eyelid Surgery,6,2026-02-06,Follows 6 local med spas
PHI-074,Michelle K.,Google Reviews,@michelle935,michelle45@comcast.net,(215) 920-6417,Bryn Mawr,Restylane,6,2026-01-12,Liked every laser hair removal post
PHI-007,Elizabeth B.,Facebook,@elizabeth310,elizabeth_b@comcast.net,(856) 842-3296,Wayne,Laser Hair Removal,5,2026-01-09,"Mentioned wanting subtle, natural results"
PHI-014,Lisa W.,Google Reviews,,lisa_w@yahoo.com,,"Cherry Hill, NJ",Jeuveau (Newtox),5,2026-02-07,Commented on Q&A about recovery time
PHI-040,Lisa B.,Facebook,@lisa.xo,lisa54@comcast.net,(267) 218-7084,University City,Chemical Peels,5,2026-01-21,"Mentioned wanting subtle, natural results"
PHI-045,Stephanie M.,Yelp,@stephanie767,stephanie.m@me.com,,Wayne,IPL Photofacial,5,2025-11-19,Commented on Q&A about recovery time
PHI-053,Jessica F.,Facebook,@jessica110,jessica_f@yahoo.com,,"Haddonfield, NJ",EmSculpt,5,2025-12-26,Tagged 3 friends in before/after post
PHI-059,Danielle W.,Facebook,,danielle_w@yahoo.com,,"Haddonfield, NJ",Dysport,5,2025-11-21,"Mentioned wanting subtle, natural results"
