email,firstName,lastName,location,procedureInterest,intentScore,source,instagram,phone,lastActivity,notes,leadId
emily_c@comcast.net,Emily,C.,Fort Washington,Breast Augmentation,8,Google Reviews,@emily_lifestyle,,2025-11-22,Commented 'need this!' on CoolSculpting before/after,PHI-032
courtney.t@me.com,Courtney,T.,"Haddonfield, NJ",Lip Fillers,8,Instagram,@courtney_beauty,(484) 618-5020,2025-12-25,Follows 6 local med spas,PHI-049
amanda_b@me.com,Amanda,B.,Chestnut Hill,Restylane,8,Instagram,@amanda581,(610) 536-3903,2026-01-16,Watched full YouTube consultation video,PHI-051
stephanie.m@icloud.com,Stephanie,M.,"Cherry Hill, NJ",SculpSure,8,Instagram,@stephanie.official,(484) 588-6469,2025-12-27,Asked about CoolSculpting consultation,PHI-057
amy.k@yahoo.com,Amy,K.,"Moorestown, NJ",Botox,8,Yelp,@amy.xo,(484) 849-5979,2025-12-27,Asked about financing options,PHI-066
melissa.t@yahoo.com,Melissa,T.,Fort Washington,Botox,8,Facebook,@melissa250,(484) 771-7547,2026-02-12,Called asking about same-day appointments,PHI-067
lisa_h@comcast.net,Lisa,H.,Radnor,Laser Skin Resurfacing,8,Instagram,@lisa_style,(610) 903-7081,2026-02-01,Asked 'does this hurt?' on procedure video,PHI-068
christina.p@icloud.com,Christina,P.,Bryn Mawr,Facelift,8,Facebook,@christina.real,,2026-01-08,Liked every laser hair removal post,PHI-071
michelle.k@me.com,Michelle,K.,Conshohocken,IPL Photofacial,7,Yelp,@michelle710,,2025-12-28,Called asking about same-day appointments,PHI-001
sarah_s@icloud.com,Sarah,S.,Ardmore,Jeuveau (Newtox),7,Yelp,@sarah421,(267) 361-4513,2026-01-23,Asked about CoolSculpting consultation,PHI-002
amy69@comcast.net,Amy,D.,Villanova,Eyelid Surgery,7,Google Reviews,@amy620,,2026-01-30,Posted in Facebook group about considering procedure,PHI-008
rebecca27@gmail.com,Rebecca,R.,Media,SculpSure,7,Google Reviews,,(610) 467-6470,2025-12-31,Asked about CoolSculpting consultation,PHI-013
melissa33@gmail.com,Melissa,T.,Ardmore,EmSculpt,7,Google Reviews,@melissa.official,(215) 829-8959,2025-12-07,Mentioned wanting treatment 'before summer',PHI-015
michelle_s@gmail.com,Michelle,S.,"Haddonfield, NJ",Laser Skin Resurfacing,7,Yelp,@michelle575,,2025-12-11,Asked 'does this hurt?' on procedure video,PHI-019
emily_h@gmail.com,Emily,H.,Bryn Mawr,Kybella (Double Chin),7,Yelp,@emily.real,(267) 346-8441,2025-12-27,Requested pricing via Instagram,PHI-020
elizabeth75@icloud.com,Elizabeth,C.,Center City,Jeuveau (Newtox),7,Yelp,@elizabeth_style,,2025-11-23,Watched full YouTube consultation video,PHI-033
stephanie51@me.com,Stephanie,B.,Conshohocken,Sculptra,7,Google Reviews,@stephanie_philly,(610) 308-2141,2025-12-18,Watched full YouTube consultation video,PHI-034
rachel_b@me.com,Rachel,B.,Manayunk,Dysport,7,Yelp,@rachel_philly,(610) 801-7389,2026-02-03,Mentioned wanting treatment 'before summer',PHI-035
karen_b@gmail.com,Karen,B.,Manayunk,EmSculpt,7,Instagram,@karen565,(856) 472-2151,2025-11-25,Liked every laser hair removal post,PHI-036
sarah62@comcast.net,Sarah,D.,"Moorestown, NJ",Laser Hair Removal,7,Google Reviews,,,2026-02-07,Watched full YouTube consultation video,PHI-037
brittany_s@gmail.com,Brittany,S.,"Haddonfield, NJ",Restylane,7,Instagram,@brittany305,,2025-12-06,Follows 6 local med spas,PHI-038
sarah.k@me.com,Sarah,K.,University City,Dysport,7,Facebook,@sarah269,,2025-12-15,Asked about CoolSculpting consultation,PHI-047
rachel.p@hotmail.com,Rachel,P.,"Cherry Hill, NJ",RF Microneedling (Morpheus8),7,Yelp,,(215) 604-1322,2025-12-21,Requested pricing via Instagram,PHI-052
samantha44@me.com,Samantha,R.,Manayunk,Eyelid Surgery,7,Yelp,@samantha.pa,,2026-01-17,Asked 'does this hurt?' on procedure video,PHI-056
rebecca.m@yahoo.com,Rebecca,M.,Old City,RF Microneedling (Morpheus8),7,TikTok,@rebecca694,,2025-12-02,Liked every laser hair removal post,PHI-060
amanda.b@yahoo.com,Amanda,B.,"Haddonfield, NJ",RF Microneedling (Morpheus8),7,TikTok,@amanda.xo,(267) 720-7971,2025-11-25,Liked every laser hair removal post,PHI-061
brittany.w@yahoo.com,Brittany,W.,Center City,Tummy Tuck,7,Facebook,@brittany.real,(267) 497-2842,2025-12-05,Asked about Botox pricing in DMs,PHI-062
elizabeth71@me.com,Elizabeth,W.,Ardmore,RF Microneedling (Morpheus8),7,RealSelf,,(484) 626-8685,2025-12-31,Shared positive review of competitor,PHI-065
rebecca_t@comcast.net,Rebecca,T.,King of Prussia,HydraFacial,7,Yelp,,(215) 244-7935,2026-01-10,Asked about Botox pricing in DMs,PHI-069
angela_p@comcast.net,Angela,P.,King of Prussia,RF Microneedling (Morpheus8),7,Facebook,,(484) 352-3627,2026-02-01,Requested pricing via Instagram,PHI-070
brittany.s@yahoo.com,Brittany,S.,Philadelphia,Mommy Makeover,7,Yelp,,,2025-12-13,Tagged 3 friends in before/after post,PHI-075
rachel.t@gmail.com,Rachel,T.,Fort Washington,Laser Skin Resurfacing,6,Google Reviews,@rachel.official,(484) 962-1659,2025-12-29,Commented 'need this!' on CoolSculpting before/after,PHI-017
nicole.p@icloud.com,Nicole,P.,King of Prussia,Dermal Fillers (Juvederm),6,Yelp,@nicole.xo,(267) 704-9876,2025-12-29,Commented 'need this!' on CoolSculpting before/after,PHI-022
jessica53@yahoo.com,Jessica,R.,Newtown Square,Tummy Tuck,6,Facebook,@jessica_style,(856) 896-5270,2026-02-15,Follows 6 local med spas,PHI-027
sarah39@yahoo.com,Sarah,W.,Bryn Mawr,Chemical Peels,6,Google Reviews,@sarah.official,(856) 514-3571,2025-12-30,Saved multiple filler result posts,PHI-028
danielle_l@gmail.com,Danielle,L.,Blue Bell,Kybella (Double Chin),6,TikTok,@danielle.real,(856) 267-2942,2026-01-18,Shared positive review of competitor,PHI-039
christina.m@gmail.com,Christina,M.,Blue Bell,SculpSure,6,Yelp,,(610) 729-4772,2025-12-29,Liked every laser hair removal post,PHI-041
heather_p@me.com,Heather,P.,King of Prussia,Eyelid Surgery,6,Yelp,,(267) 552-8198,2026-02-06,Follows 6 local med spas,PHI-072
michelle45@comcast.net,Michelle,K.,Bryn Mawr,Restylane,6,Google Reviews,@michelle935,(215) 920-6417,2026-01-12,Liked every laser hair removal post,PHI-074
elizabeth_b@comcast.net,Elizabeth,B.,Wayne,Laser Hair Removal,5,Facebook,@elizabeth310,(856) 842-3296,2026-01-09,"Mentioned wanting subtle, natural results",PHI-007
lisa_w@yahoo.com,Lisa,W.,"Cherry Hill, NJ",Jeuveau (Newtox),5,Google Reviews,,,2026-02-07,Commented on Q&A about recovery time,PHI-014
lisa54@comcast.net,Lisa,B.,University City,Chemical Peels,5,Facebook,@lisa.xo,(267) 218-7084,2026-01-21,"Mentioned wanting subtle, natural results",PHI-040
stephanie.m@me.com,Stephanie,M.,Wayne,IPL Photofacial,5,Yelp,@stephanie767,,2025-11-19,Commented on Q&A about recovery time,PHI-045
jessica_f@yahoo.com,Jessica,F.,"Haddonfield, NJ",EmSculpt,5,Facebook,@jessica110,,2025-12-26,Tagged 3 friends in before/after post,PHI-053
danielle_w@yahoo.com,Danielle,W.,"Haddonfield, NJ",Dysport,5,Facebook,,,2025-11-21,"Mentioned wanting subtle, natural results",PHI-059
